2025-07-04 15:04:05.490 [info] updateURL https://api2.cursor.sh/updates/api/update/linux-x64/cursor/1.2.1/8ac364b819bbfb9633a829450228386eb96abc5abf1e96aee7235a31a1fdd736/stable
2025-07-04 15:04:05.491 [info] update#setState idle
2025-07-04 15:04:10.632 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.680 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.729 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.738 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.752 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.765 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:10.778 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.071 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.196 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.210 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.244 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.284 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.325 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.365 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.421 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.479 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.528 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.575 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.626 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.693 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.740 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.791 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.866 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.956 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:11.986 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:12.071 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:12.142 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:12.199 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:12.216 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
2025-07-04 15:04:12.229 [error] CodeWindow: renderer process gone (reason: clean-exit, code: <unknown>)
